CO_IES,Instituicao,CO_CATEGAD,CO_CURSO,NO_CURSO,Municipio,UF,TP_SEXO,NU_IDADE,QE_I01,QE_I02,QE_I04,QE_I05,QE_I06,QE_I07,QE_I08,QE_I09,QE_I10,QE_I11,QE_I12,QE_I13,QE_I14,QE_I15,QE_I17,QE_I18,QE_I19,QE_I20,QE_I21,QE_I22,QE_I23,QE_I24,QE_I25,QE_I26,NT_GER
2564,UNIVERSIDADE FEDERAL DE CAMPINA GRANDE (UFCG),1,13446,CIÊNCIA DA COMPUTAÇÃO,Campina Grande,PB,M,25,A,D,E,D,B,F,C,E,B,A,A,A,A,A,B,A,A,C,A,B,B,B,G,F,55.9
2564,UNIVERSIDADE FEDERAL DE CAMPINA GRANDE (UFCG),1,13446,CIÊNCIA DA COMPUTAÇÃO,Campina Grande,PB,M,21,A,D,E,C,B,C,A,B,A,A,A,F,A,A,A,A,B,B,A,C,C,E,H,F,45.1
2564,UNIVERSIDADE FEDERAL DE CAMPINA GRANDE (UFCG),1,13446,CIÊNCIA DA COMPUTAÇÃO,Campina Grande,PB,F,22,A,A,E,E,B,C,F,B,B,A,A,F,A,A,B,A,A,G,A,C,D,E,H,F,50.3
2564,UNIVERSIDADE FEDERAL DE CAMPINA GRANDE (UFCG),1,13446,CIÊNCIA DA COMPUTAÇÃO,Campina Grande,PB,F,24,A,A,F,E,B,D,F,B,A,A,A,A,A,A,B,A,B,C,A,D,E,C,B,F,49.6
2564,UNIVERSIDADE FEDERAL DE CAMPINA GRANDE (UFCG),1,13446,CIÊNCIA DA COMPUTAÇÃO,Campina Grande,PB,F,29,A,D,E,D,A,A,B,D,D,A,A,F,A,A,B,A,B,I,A,B,C,A,A,F,41.7
2564,UNIVERSIDADE FEDERAL DE CAMPINA GRANDE (UFCG),1,13446,CIÊNCIA DA COMPUTAÇÃO,Campina Grande,PB,M,23,A,A,E,E,B,E,C,B,A,A,A,A,A,A,B,A,B,C,A,E,B,E,A,F,37.4
2564,UNIVERSIDADE FEDERAL DE CAMPINA GRANDE (UFCG),1,13446,CIÊNCIA DA COMPUTAÇÃO,Campina Grande,PB,F,25,A,A,D,D,B,D,C,B,A,A,A,A,A,A,A,A,B,C,A,E,B,E,A,F,41.8
2564,UNIVERSIDADE FEDERAL DE CAMPINA GRANDE (UFCG),1,13446,CIÊNCIA DA COMPUTAÇÃO,Campina Grande,PB,M,24,A,A,E,D,B,C,A,B,A,A,A,B,B,A,B,A,A,B,A,E,C,E,E,C,74.6
2564,UNIVERSIDADE FEDERAL DE CAMPINA GRANDE (UFCG),1,13446,CIÊNCIA DA COMPUTAÇÃO,Campina Grande,PB,M,23,A,A,D,E,B,F,D,C,B,A,A,F,A,A,B,A,B,A,A,A,C,D,E,A,56.3
2564,UNIVERSIDADE FEDERAL DE CAMPINA GRANDE (UFCG),1,13446,CIÊNCIA DA COMPUTAÇÃO,Campina Grande,PB,M,25,A,A,B,B,B,D,C,E,E,A,A,A,A,A,B,A,A,C,A,A,C,A,E,A,42.3
2564,UNIVERSIDADE FEDERAL DE CAMPINA GRANDE (UFCG),1,13446,CIÊNCIA DA COMPUTAÇÃO,Campina Grande,PB,M,23,A,D,D,D,D,A,D,B,A,A,A,A,A,A,B,A,B,G,A,C,E,C,E,F,52.1
2564,UNIVERSIDADE FEDERAL DE CAMPINA GRANDE (UFCG),1,13446,CIÊNCIA DA COMPUTAÇÃO,Campina Grande,PB,F,25,A,D,E,D,B,E,A,D,A,A,A,B,B,D,A,A,B,C,A,A,C,A,A,A,37.5
2564,UNIVERSIDADE FEDERAL DE CAMPINA GRANDE (UFCG),1,13446,CIÊNCIA DA COMPUTAÇÃO,Campina Grande,PB,M,22,A,D,E,E,B,D,E,B,B,A,A,B,A,A,B,A,B,A,A,A,D,A,E,F,73.3
2564,UNIVERSIDADE FEDERAL DE CAMPINA GRANDE (UFCG),1,13446,CIÊNCIA DA COMPUTAÇÃO,Campina Grande,PB,M,25,A,A,D,E,B,E,C,B,A,A,A,A,F,A,B,A,A,G,A,C,C,E,E,C,51.7
2564,UNIVERSIDADE FEDERAL DE CAMPINA GRANDE (UFCG),1,13446,CIÊNCIA DA COMPUTAÇÃO,Campina Grande,PB,M,22,A,D,D,D,D,A,C,E,A,A,A,F,F,A,B,A,A,A,A,E,B,E,A,F,73.5
2564,UNIVERSIDADE FEDERAL DE CAMPINA GRANDE (UFCG),1,13446,CIÊNCIA DA COMPUTAÇÃO,Campina Grande,PB,M,26,A,A,D,E,B,C,C,C,C,A,A,C,F,A,B,A,B,A,A,D,C,C,A,F,53.1
2564,UNIVERSIDADE FEDERAL DE CAMPINA GRANDE (UFCG),1,13446,CIÊNCIA DA COMPUTAÇÃO,Campina Grande,PB,M,23,A,A,D,D,B,E,C,C,C,A,A,F,A,A,A,A,B,G,A,A,B,E,E,F,50.4
2564,UNIVERSIDADE FEDERAL DE CAMPINA GRANDE (UFCG),1,13446,CIÊNCIA DA COMPUTAÇÃO,Campina Grande,PB,M,24,B,B,E,E,C,B,D,E,E,A,A,F,B,A,B,A,B,A,A,B,C,E,A,A,42.4
