CO_IES,Instituicao,CO_CATEGAD,CO_CURSO,NO_CURSO,Municipio,UF,TP_SEXO,NU_IDADE,QE_I01,QE_I02,QE_I04,QE_I05,QE_I06,QE_I07,QE_I08,QE_I09,QE_I10,QE_I11,QE_I12,QE_I13,QE_I14,QE_I15,QE_I17,QE_I18,QE_I19,QE_I20,QE_I21,QE_I22,QE_I23,QE_I24,QE_I25,QE_I26,NT_GER
4865,FACULDADE PITÁGORAS DE SÃO LUIZ,4,107920,CIÊNCIA DA COMPUTAÇÃO,São Luís,MA,M,25,B,D,D,D,C,C,C,E,D,E,A,A,A,A,A,B,B,A,A,C,B,E,H,I,
4865,FACULDADE PITÁGORAS DE SÃO LUIZ,4,107920,CIÊNCIA DA COMPUTAÇÃO,São Luís,MA,M,27,E,D,D,D,C,C,B,F,E,E,A,A,A,A,A,A,F,G,B,A,B,E,E,E,38.9
4865,FACULDADE PITÁGORAS DE SÃO LUIZ,4,107920,CIÊNCIA DA COMPUTAÇÃO,São Luís,MA,F,34,,,,,,,,,,,,,,,,,,,,,,,,,
4865,FACULDADE PITÁGORAS DE SÃO LUIZ,4,107920,CIÊNCIA DA COMPUTAÇÃO,São Luís,MA,M,31,B,A,D,C,C,C,B,F,E,E,A,A,A,C,A,A,B,K,B,B,B,E,E,I,17.2
4865,FACULDADE PITÁGORAS DE SÃO LUIZ,4,107920,CIÊNCIA DA COMPUTAÇÃO,São Luís,MA,M,29,,,,,,,,,,,,,,,,,,,,,,,,,
4865,FACULDADE PITÁGORAS DE SÃO LUIZ,4,107920,CIÊNCIA DA COMPUTAÇÃO,São Luís,MA,F,24,,,,,,,,,,,,,,,,,,,,,,,,,
4865,FACULDADE PITÁGORAS DE SÃO LUIZ,4,107920,CIÊNCIA DA COMPUTAÇÃO,São Luís,MA,M,23,,,,,,,,,,,,,,,,,,,,,,,,,
4865,FACULDADE PITÁGORAS DE SÃO LUIZ,4,107920,CIÊNCIA DA COMPUTAÇÃO,São Luís,MA,F,26,A,D,B,D,D,C,B,B,A,E,A,A,A,A,A,A,B,C,B,B,A,E,A,I,24.7
4865,FACULDADE PITÁGORAS DE SÃO LUIZ,4,107920,CIÊNCIA DA COMPUTAÇÃO,São Luís,MA,M,25,A,A,F,D,B,C,A,F,E,E,A,A,A,A,A,A,G,A,A,A,B,A,H,E,20.3
4865,FACULDADE PITÁGORAS DE SÃO LUIZ,4,107920,CIÊNCIA DA COMPUTAÇÃO,São Luís,MA,M,23,A,D,C,D,B,D,A,B,A,E,A,A,A,A,A,A,B,C,B,C,C,E,H,I,20.5
4865,FACULDADE PITÁGORAS DE SÃO LUIZ,4,107920,CIÊNCIA DA COMPUTAÇÃO,São Luís,MA,F,24,A,A,E,D,B,C,B,A,A,E,A,C,A,A,A,A,F,C,A,D,B,A,A,G,25.1
4865,FACULDADE PITÁGORAS DE SÃO LUIZ,4,107920,CIÊNCIA DA COMPUTAÇÃO,São Luís,MA,M,22,A,B,D,D,B,C,A,B,A,E,A,D,E,A,B,A,D,J,A,C,B,E,C,F,28.6
4865,FACULDADE PITÁGORAS DE SÃO LUIZ,4,107920,CIÊNCIA DA COMPUTAÇÃO,São Luís,MA,F,32,A,D,D,C,B,F,B,E,E,C,A,F,A,D,A,A,C,E,B,E,C,E,D,E,25.3
4865,FACULDADE PITÁGORAS DE SÃO LUIZ,4,107920,CIÊNCIA DA COMPUTAÇÃO,São Luís,MA,M,27,,,,,,,,,,,,,,,,,,,,,,,,,
4865,FACULDADE PITÁGORAS DE SÃO LUIZ,4,107920,CIÊNCIA DA COMPUTAÇÃO,São Luís,MA,M,23,,,,,,,,,,,,,,,,,,,,,,,,,36.2
